Time,time,range
1638389111.1515596,1638389111143980124,1880
1638389111.2487624,1638389111241491746,1881
1638389111.3913615,1638389111341615486,1880
1638389111.448852,1638389111441389231,1881
1638389111.5487134,1638389111541351856,1882
1638389111.6492736,1638389111641724015,1883
1638389111.7491581,1638389111741856766,1885
1638389111.8508236,1638389111841833872,1881
1638389111.9463105,1638389111937955830,1883
1638389112.0457969,1638389112037805657,1886
1638389112.145996,1638389112137733263,1880
1638389112.241982,1638389112234859145,1883
1638389112.3435123,1638389112335919974,1885
1638389112.444047,1638389112436201221,1882
1638389112.5428152,1638389112535316792,1881
1638389112.6381884,1638389112631094422,1882
1638389112.7383902,1638389112731049740,1874
1638389112.905104,1638389112833069499,1882
1638389112.9406748,1638389112933212237,1879
1638389113.0345747,1638389113027302858,1884
1638389113.1369581,1638389113128864520,1881
1638389113.242043,1638389113234507241,1879
1638389113.3435178,1638389113333368079,1877
1638389113.4416497,1638389113433076945,1881
1638389113.540028,1638389113532961095,1881
1638389113.6372747,1638389113625322795,1882
1638389113.7309844,1638389113724012985,1886
1638389113.8887665,1638389113824612646,1883
1638389113.93953,1638389113932047634,1883
1638389114.030641,1638389114022720975,1884
1638389114.1405034,1638389114132227571,1883
1638389114.24029,1638389114232180936,1879
1638389114.3403876,1638389114332411107,1881
1638389114.4268064,1638389114419267755,1879
1638389114.5312016,1638389114524187917,1886
1638389114.6398404,1638389114632436588,1880
1638389114.739203,1638389114732203209,1881
1638389114.8270283,1638389114819240141,1879
1638389114.9401665,1638389114933148564,1882
1638389115.040514,1638389115032427445,1885
1638389115.1272018,1638389115119335605,1882
1638389115.2401857,1638389115232544854,1883
1638389115.340171,1638389115332636609,1884
1638389115.4398553,1638389115432507555,1886
1638389115.5268087,1638389115519351645,1882
1638389115.639631,1638389115632484945,1884
1638389115.7401736,1638389115732787875,1882
1638389115.8264713,1638389115819048763,1880
1638389115.9276743,1638389115920717860,1884
1638389116.0434759,1638389116035929014,1878
