Time,time,range
1638389111.2581532,1638389111250813195,844
1638389111.3914819,1638389111350428742,888
1638389111.4574718,1638389111450075596,1410
1638389111.5575411,1638389111550293254,1084
1638389111.657177,1638389111649985062,1133
1638389111.7571137,1638389111749953052,909
1638389111.8581865,1638389111847884938,1130
1638389111.955731,1638389111948274599,974
1638389112.0550547,1638389112047882773,1440
1638389112.1554556,1638389112147937219,1469
1638389112.2552702,1638389112248096783,1084
1638389112.3552473,1638389112348134195,890
1638389112.4533825,1638389112446259896,1088
1638389112.5537243,1638389112546643552,1060
1638389112.6535225,1638389112646398480,947
1638389112.753725,1638389112746668423,1316
1638389112.9050822,1638389112846984414,1287
1638389112.9540277,1638389112946931137,860
1638389113.0550084,1638389113044921482,883
1638389113.1535792,1638389113146131535,1465
1638389113.2531211,1638389113245826701,1010
1638389113.3520758,1638389113344890482,997
1638389113.4528582,1638389113444993359,1286
1638389113.5522478,1638389113544813438,1003
1638389113.6522539,1638389113645248024,1261
1638389113.7527437,1638389113745647606,1263
1638389113.8887715,1638389113844533083,1092
1638389113.951646,1638389113944632417,1035
1638389114.0516834,1638389114044500445,1222
1638389114.151573,1638389114144640188,925
1638389114.2518208,1638389114244673355,1068
1638389114.3519933,1638389114344903422,903
1638389114.4494047,1638389114442110177,1107
1638389114.5499275,1638389114542267162,1201
1638389114.6493487,1638389114642399665,1096
1638389114.7493546,1638389114742250151,978
1638389114.848997,1638389114841936554,1015
1638389114.9471273,1638389114940175110,1402
1638389115.047602,1638389115040220753,1081
1638389115.1472027,1638389115140229633,968
1638389115.2469454,1638389115240156836,1124
1638389115.3469057,1638389115340080393,1575
1638389115.4471707,1638389115440081199,941
1638389115.547708,1638389115540093934,1131
1638389115.647005,1638389115640167458,1096
1638389115.7445867,1638389115737826344,1208
1638389115.8446374,1638389115837732190,958
1638389115.947097,1638389115939978967,1160
1638389116.046567,1638389116039446242,969
1638389116.144254,1638389116137492772,924
1638389116.2446177,1638389116237692342,972
1638389116.3447683,1638389116338141320,1350
1638389116.4444654,1638389116437875517,1249
1638389116.5447028,1638389116538090610,989
1638389116.642432,1638389116635491900,965
1638389116.7421646,1638389116735587238,1103
1638389116.8449605,1638389116838400690,1107
1638389116.943729,1638389116936320797,1079
1638389117.0428426,1638389117035458957,1034
1638389117.1459846,1638389117138369023,1133
1638389117.2415552,1638389117234547176,934
1638389117.3453293,1638389117338776579,1222
1638389117.4418924,1638389117435270502,761
1638389117.5447338,1638389117537993825,1305
1638389117.6450884,1638389117637815261,1007
1638389117.7414021,1638389117734424148,1033
1638389117.8405566,1638389117833576384,1053
1638389117.9413443,1638389117934565472,1078
1638389118.0398624,1638389118033338679,982
1638389118.1429322,1638389118136453498,1159
1638389118.2399728,1638389118233487899,1023
1638389118.34639,1638389118338120725,1080
1638389118.441126,1638389118433547211,980
1638389118.59266,1638389118533173455,1069
1638389118.6398108,1638389118633362429,981
1638389118.7454286,1638389118735705741,1214
1638389118.8400319,1638389118832947148,1270
1638389118.9397497,1638389118932607720,1274
1638389119.0357726,1638389119029290079,897
1638389119.1390207,1638389119132628403,1051
1638389119.2389324,1638389119232543424,1596
1638389119.3407772,1638389119334206899,981
1638389119.440798,1638389119434381954,1146
1638389119.536718,1638389119529839165,1248
1638389119.6444147,1638389119635245566,1017
1638389119.7416513,1638389119734522954,958
1638389119.842097,1638389119835637296,1298
1638389119.9411793,1638389119934900567,1060
1638389120.0419576,1638389120034986891,1374
1638389120.1348205,1638389120126822801,851
1638389120.2853215,1638389120234439523,923
1638389120.340603,1638389120334335365,1349
1638389120.442749,1638389120435076211,984
1638389120.5428362,1638389120536419998,943
1638389120.6324334,1638389120625886388,1062
1638389120.7415068,1638389120733859456,1068
1638389120.8407352,1638389120833949126,1129
1638389120.9419181,1638389120934105939,1165
1638389121.0319548,1638389121025745871,1053
1638389121.1317475,1638389121125518042,1053
1638389121.2400444,1638389121233411868,863
1638389121.3397071,1638389121333379116,1099
1638389121.441055,1638389121434769878,1084
1638389121.5406184,1638389121534314104,1022
1638389121.6405277,1638389121633309979,1282
1638389121.7434638,1638389121736962851,960
1638389121.839719,1638389121833664633,1155
1638389121.940162,1638389121934028286,1262
1638389122.0412824,1638389122033969937,1438
1638389122.1306555,1638389122124630535,921
1638389122.230918,1638389122224830043,1378
1638389122.3309214,1638389122324776290,1191
1638389122.4311242,1638389122424906936,1132
1638389122.5311232,1638389122524881520,1288
1638389122.6317203,1638389122624395317,1076
1638389122.7412796,1638389122735204496,1822
1638389122.8318925,1638389122824807304,1016
1638389122.94812,1638389122941960981,1023
1638389123.0414872,1638389123035263035,1076
1638389123.1416898,1638389123135106709,947
1638389123.228432,1638389123222103615,1459
1638389123.3422275,1638389123335400904,1522
1638389123.4410381,1638389123434975637,1287
1638389123.5420365,1638389123536067749,974
1638389123.6427126,1638389123636872273,1106
1638389123.7297065,1638389123723251080,1010
1638389123.8451,1638389123836359334,839
1638389123.9424257,1638389123936338129,1160
1638389124.0313025,1638389124025467527,1109
1638389124.1517944,1638389124140081579,913
1638389124.2859435,1638389124236009339,1204
1638389124.3390934,1638389124333246637,985
1638389124.4274247,1638389124420301467,1132
1638389124.5266664,1638389124520629360,967
1638389124.6292667,1638389124623004540,1012
1638389124.7399678,1638389124734023507,1199
1638389124.8400595,1638389124834259514,1133
1638389124.9403968,1638389124934033431,962
1638389125.0424972,1638389125036762800,1099
1638389125.140309,1638389125134419936,1482
1638389125.2406592,1638389125234897007,1169
1638389125.3784163,1638389125321374160,1003
1638389125.4279811,1638389125421489831,1151
1638389125.5413976,1638389125535544266,1143
1638389125.6420379,1638389125635485958,892
1638389125.7458732,1638389125740046556,1175
1638389125.844041,1638389125836177201,1141
1638389125.9275517,1638389125921315282,2117
1638389126.0284357,1638389126021904436,974
1638389126.141927,1638389126135968596,1274
1638389126.2422104,1638389126234923700,1104
1638389126.340539,1638389126334339070,1393
1638389126.427621,1638389126422028665,1368
1638389126.5281363,1638389126522477860,1209
1638389126.6424236,1638389126635769321,1226
1638389126.7425334,1638389126736056465,1559
1638389126.8256226,1638389126820095453,1080
1638389126.9315832,1638389126925712943,1193
1638389127.0284293,1638389127020658527,1287
1638389127.141093,1638389127134932073,1383
1638389127.230347,1638389127221866316,998
1638389127.3278644,1638389127321890869,1041
1638389127.4286718,1638389127422628842,1061
1638389127.5280995,1638389127522223863,1278
1638389127.6421537,1638389127636424535,1138
1638389127.727667,1638389127721342957,1027
1638389127.8264494,1638389127820963867,1534
1638389127.9279692,1638389127922256336,1033
1638389128.0406973,1638389128035033429,931
1638389128.1400259,1638389128134089888,1101
1638389128.239752,1638389128234394625,1131
1638389128.3418615,1638389128334938558,1464
1638389128.4404361,1638389128435004776,1110
1638389128.5286386,1638389128522157797,1344
1638389128.6279001,1638389128622446178,1257
1638389128.7410145,1638389128735634108,2208
1638389128.8282754,1638389128822764679,1801
1638389128.941998,1638389128935840407,1897
1638389129.0281105,1638389129022827095,1026
1638389129.142115,1638389129135783056,2097
1638389129.2414856,1638389129235941051,3226
1638389129.3272672,1638389129321618113,3416
1638389129.440203,1638389129434885935,2518
1638389129.5278761,1638389129522256224,1421
1638389129.6299958,1638389129623735265,1122
1638389129.7412095,1638389129735804503,1170
1638389129.8405428,1638389129833597574,1147
1638389129.9273374,1638389129921300768,1098
1638389130.0418165,1638389130034467623,1206
1638389130.1273193,1638389130121773479,1179
1638389130.2271295,1638389130221933291,1270
1638389130.3417454,1638389130335750959,2347
1638389130.4400535,1638389130434593528,1567
1638389130.5425432,1638389130536634870,2642
1638389130.6048493,1638389130599644444,2110
1638389130.7047122,1638389130699468539,1985
1638389130.804271,1638389130799042238,2017
1638389130.9046385,1638389130899153034,1039
1638389131.0068517,1638389130999074379,1236
