Time,time,deltaX,deltaY,range,surfaceQuality
1638389442.8511233,1638389442862240431,0,0,8191,96
1638389442.9374425,1638389442949703560,0,0,8190,97
1638389443.0502913,1638389443062691366,0,0,8191,95
1638389443.1511354,1638389443163080980,0,0,8191,94
1638389443.2396762,1638389443249256117,0,0,8190,94
1638389443.3420508,1638389443353859712,0,0,8190,101
1638389443.4546132,1638389443466723967,0,0,8191,93
1638389443.5379133,1638389443550415323,0,0,8190,92
1638389443.6382303,1638389443650704514,0,0,8190,94
1638389443.7509286,1638389443763449753,0,0,8191,94
1638389443.837795,1638389443850096218,0,-1,8190,98
1638389443.937465,1638389443949953302,0,0,8190,98
1638389444.0374339,1638389444049844032,0,0,8190,93
1638389444.1504478,1638389444162822612,0,0,8191,95
1638389444.2513149,1638389444262519214,0,0,8191,95
1638389444.3502147,1638389444362730063,0,0,8190,98
1638389444.4392426,1638389444451098441,0,0,8190,101
1638389444.5387993,1638389444551165845,0,0,8190,96
1638389444.6401098,1638389444651476647,0,1,8190,94
1638389444.7406769,1638389444752160283,0,0,8190,94
1638389444.8399823,1638389444852028301,0,0,8190,94
1638389444.953688,1638389444965178556,0,-1,8191,92
1638389445.052718,1638389445064950420,0,0,8191,95
1638389445.1528752,1638389445165045164,0,0,8191,95
1638389445.253248,1638389445264956356,0,0,8191,93
1638389445.3395314,1638389445351972625,0,0,8190,90
1638389445.4394515,1638389445451955227,0,0,8190,92
1638389445.5531435,1638389445565115113,0,0,8191,95
1638389445.6369212,1638389445649292528,0,0,8190,92
1638389445.7406523,1638389445752501453,0,0,8190,90
1638389445.8601804,1638389445872695473,0,0,8191,92
1638389445.9531016,1638389445965754104,0,0,8191,95
1638389446.0525284,1638389446064702115,0,0,8191,96
1638389446.1373382,1638389446149386950,0,0,8190,99
1638389446.2368083,1638389446249417155,0,1,8190,93
1638389446.3505807,1638389446362887625,0,0,8191,97
1638389446.4356031,1638389446447928781,0,0,8190,97
1638389446.535414,1638389446547872940,0,0,8190,97
1638389446.6348615,1638389446647433483,0,0,8190,94
1638389446.7373738,1638389446749607659,0,0,8190,95
1638389446.8352277,1638389446847679215,0,0,8190,90
1638389446.9370048,1638389446949416752,0,0,8190,94
1638389447.0497441,1638389447062370420,0,0,8191,92
1638389447.1513343,1638389447163289783,0,0,8191,97
1638389447.2372012,1638389447249214682,-1,0,8190,94
1638389447.35036,1638389447362222934,1,-1,8191,97
1638389447.4397976,1638389447449216693,8,0,8190,95
1638389447.550959,1638389447562774089,6,-1,8191,94
1638389447.6496983,1638389447662242123,12,0,8191,99
1638389447.7669125,1638389447762148045,19,-3,8191,89
1638389447.8500617,1638389447862759840,22,6,8191,89
1638389447.94821,1638389447960908374,19,8,8191,103
1638389448.0351672,1638389448047633523,23,3,8190,110
1638389448.1514885,1638389448163414056,16,10,8191,119
1638389448.2376094,1638389448249688292,14,5,8190,121
1638389448.3504343,1638389448363176461,6,4,8191,124
1638389448.4353433,1638389448448002858,9,0,8190,130
1638389448.5511172,1638389448563888032,4,-1,8191,127
1638389448.6356606,1638389448647871727,5,2,8190,128
1638389448.7370143,1638389448749809683,3,-4,8190,128
1638389448.8369715,1638389448849328131,2,0,8190,129
1638389448.9363303,1638389448948686050,2,0,8190,131
1638389449.0374787,1638389449049254345,7,4,8190,135
1638389449.1526234,1638389449161971476,4,17,8191,134
1638389449.2358603,1638389449248563591,6,0,8190,133
1638389449.3496485,1638389449361954509,20,16,8191,129
1638389449.4363954,1638389449448919352,19,5,8190,125
1638389449.5370705,1638389449549036005,31,11,8190,138
1638389449.6365867,1638389449648993275,30,11,8190,143
1638389449.7369943,1638389449749050863,25,9,8190,154
1638389449.8502047,1638389449862706119,27,8,8190,138
1638389449.937251,1638389449949358392,34,8,8190,128
1638389450.0510998,1638389450063248554,29,9,8191,137
1638389450.1360664,1638389450148035618,35,5,8190,140
1638389450.2380939,1638389450250457496,34,5,8190,134
1638389450.3500752,1638389450362395674,35,2,8190,130
1638389450.436887,1638389450449144095,39,-8,8190,117
1638389450.550861,1638389450563365053,31,-2,8191,109
1638389450.6377304,1638389450650275358,25,8,8190,107
1638389450.7517633,1638389450764302399,23,8,8191,95
1638389450.8361151,1638389450848664544,27,9,8190,88
1638389450.936184,1638389450948398724,17,8,8190,86
1638389451.049178,1638389451061468628,31,11,8191,80
1638389451.1363592,1638389451148853069,22,7,8190,100
1638389451.2511208,1638389451263685826,22,8,8191,109
1638389451.3514292,1638389451364302185,28,8,8191,103
1638389451.4372487,1638389451449159665,14,3,8190,105
1638389451.5491273,1638389451561928039,3,3,8191,112
1638389451.6375332,1638389451649543066,0,0,8190,117
1638389451.739553,1638389451749174840,0,0,8190,106
1638389451.8366504,1638389451849111318,0,0,8190,108
1638389451.949732,1638389451962575824,0,0,8191,107
1638389452.049467,1638389452062310204,0,1,8191,115
1638389452.1355002,1638389452148441188,0,0,8190,113
1638389452.2376506,1638389452250296985,-1,0,8190,109
1638389452.397464,1638389452363433030,0,0,8191,108
1638389452.437225,1638389452450151597,0,0,8190,116
1638389452.5509763,1638389452563637922,0,0,8191,108
1638389452.6371956,1638389452649746717,0,0,8190,109
1638389452.7366817,1638389452749236082,0,0,8190,109
1638389452.849596,1638389452861984294,0,0,8191,113
1638389452.9361036,1638389452948547124,0,0,8190,109
1638389453.0505083,1638389453063337527,0,0,8191,106
1638389453.135925,1638389453148383708,0,0,8190,113
1638389453.2512376,1638389453263951234,0,0,8191,110
1638389453.3510723,1638389453363760821,0,0,8191,108
1638389453.4492676,1638389453461921569,1,1,8191,111
1638389453.5486262,1638389453548448299,8,-1,8190,115
1638389453.6498363,1638389453662410165,5,-3,8191,110
1638389453.7368462,1638389453749704124,11,-2,8190,114
1638389453.8502753,1638389453862866363,6,-2,8191,125
1638389453.937029,1638389453949658681,12,3,8190,124
1638389454.0373063,1638389454049795784,14,-3,8190,117
1638389454.1371987,1638389454149835222,4,0,8190,110
1638389454.2496486,1638389454262503784,14,5,8191,106
