Time,time,range
1638389564.708044,1638389564724187134,2686
1638389564.806063,1638389564822186741,2689
1638389564.9057539,1638389564922126348,2687
1638389565.0068758,1638389565022126479,2691
1638389565.1039572,1638389565120002156,2697
1638389565.203343,1638389565219758930,2693
1638389565.303072,1638389565319289460,2690
1638389565.402542,1638389565418706555,2694
1638389565.502809,1638389565518916182,2689
1638389565.602575,1638389565618934459,2687
1638389565.7013283,1638389565717701623,2693
1638389565.8019238,1638389565817527666,2685
1638389565.8980198,1638389565914421546,2684
1638389565.9976583,1638389566014028169,2683
1638389566.097354,1638389566113781219,2703
1638389566.1951816,1638389566211634734,2680
1638389566.295178,1638389566311384503,2693
1638389566.39511,1638389566411412754,2676
1638389566.4926934,1638389566509086742,2685
1638389566.592998,1638389566609046454,2690
1638389566.6928794,1638389566708937260,2685
1638389566.8020742,1638389566818019704,2692
1638389566.8930898,1638389566906176908,2692
1638389566.9940076,1638389567005946832,2681
1638389567.089742,1638389567106055992,2698
1638389567.1892784,1638389567205615791,2687
1638389567.2875578,1638389567303692555,2683
1638389567.3875735,1638389567403807184,2697
1638389567.5312243,1638389567501591716,2684
1638389567.585817,1638389567601852956,2698
1638389567.6856856,1638389567701835869,2690
1638389567.7856593,1638389567801997945,2693
1638389567.8858795,1638389567901442486,2685
1638389567.987712,1638389568003606906,2687
1638389568.0862107,1638389568101476408,2691
1638389568.1810794,1638389568196756446,2692
1638389568.280176,1638389568296488193,2696
1638389568.3804991,1638389568396419988,2698
1638389568.4797602,1638389568495408108,2698
1638389568.5783694,1638389568594417947,2681
1638389568.6764476,1638389568692399374,2685
1638389568.776165,1638389568792380438,2677
1638389568.8760068,1638389568892231401,2691
1638389568.9758923,1638389568992115020,2688
1638389569.0739822,1638389569090174800,2690
1638389569.1736984,1638389569189830533,2692
1638389569.277045,1638389569289702875,2698
1638389569.3721495,1638389569388395247,2694
1638389569.4726913,1638389569488778358,2693
1638389569.5734215,1638389569588693356,2697
1638389569.6688278,1638389569684953080,2696
1638389569.772036,1638389569788266378,2681
1638389569.869924,1638389569885386342,2689
1638389569.9702108,1638389569985503886,2700
1638389570.0698526,1638389570085516557,2681
1638389570.169073,1638389570185287938,2686
1638389570.2639651,1638389570280107306,2688
1638389570.3651245,1638389570380503411,2688
1638389570.4642425,1638389570480073026,2692
1638389570.5638888,1638389570579904405,2692
1638389570.6614625,1638389570677268241,2693
1638389570.7608535,1638389570776600831,2690
1638389570.8636262,1638389570879487239,2692
1638389570.9602232,1638389570976357806,2696
1638389571.0617597,1638389571076398833,2690
1638389571.1611958,1638389571177192349,2685
1638389571.260462,1638389571274876671,2694
1638389571.3557198,1638389571371869239,2698
1638389571.4603271,1638389571474617395,2694
1638389571.5592403,1638389571574672440,2690
1638389571.6534092,1638389571669526571,2689
1638389571.7530575,1638389571769168293,2695
1638389571.8564358,1638389571872403780,2685
1638389571.9536452,1638389571969748840,2687
1638389572.0552688,1638389572070687264,2697
1638389572.1546085,1638389572170737908,2689
1638389572.2487168,1638389572264827341,2675
1638389572.3482955,1638389572364409090,2700
1638389572.4549205,1638389572469621795,2686
1638389572.5486557,1638389572564396733,2684
1638389572.6537793,1638389572669822350,2693
1638389572.7488992,1638389572761879021,2671
1638389572.853292,1638389572869382504,2688
1638389572.9545872,1638389572969776993,2684
1638389573.0449004,1638389573060327620,2686
1638389573.1447322,1638389573160187772,2696
1638389573.253378,1638389573269377179,2690
1638389573.4119558,1638389573358355093,2687
1638389573.455053,1638389573471067749,2680
1638389573.5547771,1638389573570835247,2666
1638389573.6616979,1638389573671043724,2689
1638389573.7452505,1638389573761084425,2702
1638389573.855026,1638389573870815642,2685
1638389573.943683,1638389573958445203,2695
1638389574.0546815,1638389574070612628,2709
1638389574.1429214,1638389574157906177,2723
1638389574.2427874,1638389574257937913,2760
1638389574.3420331,1638389574358052615,2803
1638389574.4421384,1638389574458100861,2856
1638389574.5419185,1638389574557708596,2900
1638389574.6615121,1638389574670913873,2980
1638389574.7553923,1638389574771414035,3065
1638389574.8543925,1638389574869678729,3148
1638389574.9557488,1638389574970275191,3248
1638389575.0549428,1638389575070403555,3348
1638389575.1561608,1638389575172016372,3430
1638389575.2425346,1638389575258470483,3560
1638389575.3554895,1638389575371290745,3634
1638389575.4424777,1638389575457809855,3729
