Time,time,range
1638389564.7826753,1638389564799074120,1117
1638389564.881424,1638389564897857092,1302
1638389564.9841988,1638389564997818886,1278
1638389565.0818753,1638389565097890285,1003
1638389565.18127,1638389565197667579,1081
1638389565.283166,1638389565299314668,1048
1638389565.383063,1638389565398910613,1088
1638389565.4858742,1638389565498801446,1018
1638389565.591728,1638389565607838863,1149
1638389565.681134,1638389565697079401,1077
1638389565.7874923,1638389565803026534,839
1638389565.8807368,1638389565896601438,1123
1638389565.9855525,1638389566001371987,1152
1638389566.084041,1638389566099022225,1728
1638389566.1847177,1638389566199048080,1181
1638389566.2831457,1638389566298615405,1324
1638389566.384205,1638389566398756987,1563
1638389566.4802163,1638389566493753961,1034
1638389566.5773163,1638389566593632789,1255
1638389566.677336,1638389566693627968,1138
1638389566.7775617,1638389566793262948,1356
1638389566.8765016,1638389566892841106,1473
1638389566.9771953,1638389566992596343,1004
1638389567.0762506,1638389567092598888,1198
1638389567.1763556,1638389567192706433,1081
1638389567.276391,1638389567292570704,1363
1638389567.376643,1638389567392701322,1384
1638389567.5305183,1638389567492760640,989
1638389567.5766642,1638389567592999380,1347
1638389567.6744282,1638389567690801047,1636
1638389567.7751365,1638389567790930363,1100
1638389567.8759437,1638389567891438315,1228
1638389567.9753141,1638389567991451280,967
1638389568.0753367,1638389568091419736,1782
1638389568.1733692,1638389568189674437,1252
1638389568.2731123,1638389568289296969,1250
1638389568.3767245,1638389568391951351,965
1638389568.473781,1638389568489812833,1142
1638389568.5736694,1638389568589571507,1385
1638389568.6736877,1638389568689656422,1015
1638389568.7735207,1638389568789663580,995
1638389568.8773038,1638389568889520845,1136
1638389568.974654,1638389568989484722,1179
1638389569.0721688,1638389569087496429,1447
1638389569.1709216,1638389569187099351,1222
1638389569.2770245,1638389569287242051,1125
1638389569.3714945,1638389569387315222,1245
1638389569.471531,1638389569487706666,1060
1638389569.5717905,1638389569587680464,990
1638389569.6721153,1638389569687634732,1380
1638389569.7709534,1638389569787198384,1599
1638389569.8715942,1638389569887385302,1215
1638389569.9721315,1638389569987496649,941
1638389570.0721872,1638389570087551142,1725
1638389570.1714132,1638389570187298565,1518
1638389570.2746723,1638389570286660581,1475
1638389570.3706143,1638389570386684768,1572
1638389570.4753373,1638389570486212717,1279
1638389570.5692823,1638389570585407081,879
1638389570.6713932,1638389570687118101,1131
1638389570.7716157,1638389570786402723,1625
1638389570.8703105,1638389570885924319,1288
1638389570.9707172,1638389570986372818,1468
1638389571.0696075,1638389571085650272,1172
1638389571.1717255,1638389571187627718,1110
1638389571.2725077,1638389571285866349,1037
1638389571.3682535,1638389571383336458,968
1638389571.4678535,1638389571481240618,1617
1638389571.5693538,1638389571581277642,1109
1638389571.6651514,1638389571681129359,1570
1638389571.76459,1638389571780473692,1547
1638389571.8674586,1638389571880823157,1167
1638389571.9651186,1638389571980797058,1035
1638389572.0654442,1638389572081110345,1068
1638389572.1648548,1638389572180920160,964
1638389572.2640939,1638389572280193427,1035
1638389572.3642976,1638389572380392660,1013
1638389572.465349,1638389572480014772,1173
1638389572.563929,1638389572579999479,1169
1638389572.663854,1638389572679915647,941
1638389572.7637415,1638389572779440730,879
1638389572.8638515,1638389572879872770,898
1638389572.9617846,1638389572977767112,1150
1638389573.0613754,1638389573077441219,1129
1638389573.1641154,1638389573177268351,1325
1638389573.261633,1638389573277477349,1085
1638389573.4122589,1638389573376890429,1982
1638389573.4608037,1638389573476824225,1516
1638389573.5616612,1638389573576636618,1333
1638389573.6618614,1638389573676619944,972
1638389573.7606013,1638389573776594573,844
1638389573.8608146,1638389573876439517,1155
1638389573.960748,1638389573976710128,1129
1638389574.0604823,1638389574076392230,1663
1638389574.1612232,1638389574176476517,1583
1638389574.262332,1638389574274394709,1503
1638389574.358378,1638389574374398528,1167
1638389574.5215895,1638389574474342402,2135
1638389574.5582852,1638389574574273411,1036
1638389574.6615262,1638389574674925652,1527
1638389574.7598827,1638389574775445605,1120
1638389574.8601549,1638389574875437759,1416
1638389574.9996972,1638389574974862061,1216
1638389575.059281,1638389575074634653,1255
1638389575.1599731,1638389575175314679,1517
1638389575.2589264,1638389575274252403,1281
1638389575.3598459,1638389575375429658,1426
1638389575.4590046,1638389575474756175,1107
1638389575.5598044,1638389575574726843,1323
1638389575.658478,1638389575673318950,1169
1638389575.7592378,1638389575773644349,1054
1638389575.8583183,1638389575873628507,933
1638389575.9584777,1638389575974084997,1162
1638389576.0588672,1638389576073893290,919
1638389576.1583714,1638389576174235173,982
1638389576.254032,1638389576269601181,1022
1638389576.3546288,1638389576369834525,934
1638389576.4566677,1638389576471887305,1199
1638389576.5555167,1638389576571084110,1047
1638389576.6573234,1638389576671603176,1309
1638389576.7530441,1638389576768932628,1297
1638389576.8598485,1638389576872241369,1510
1638389576.9589343,1638389576973215581,1369
1638389577.0622568,1638389577068939201,1900
1638389577.1569312,1638389577172314371,1181
1638389577.2580307,1638389577272876274,1251
1638389577.3554275,1638389577371010680,1786
1638389577.4564662,1638389577471986687,1153
1638389577.5519652,1638389577567397406,1391
1638389577.6569576,1638389577671895937,1410
1638389577.751569,1638389577767010569,1240
1638389577.855874,1638389577870987549,1366
1638389577.9562726,1638389577970922122,1340
1638389578.0557313,1638389578070963479,1081
1638389578.155779,1638389578170520221,1271
1638389578.248999,1638389578264624639,1350
1638389578.3554473,1638389578370793938,1063
1638389578.4491792,1638389578464736849,1484
1638389578.5498958,1638389578564529575,2252
1638389578.65683,1638389578672167226,1561
1638389578.748947,1638389578764334032,2252
1638389578.8584697,1638389578873800809,2400
1638389578.9488668,1638389578964461659,1969
1638389579.120525,1638389579072557806,2020
1638389579.153202,1638389579167930760,2159
1638389579.2576625,1638389579272822458,2003
1638389579.3575542,1638389579372485472,1549
1638389579.4549062,1638389579470029471,1341
1638389579.5479987,1638389579563631007,1401
1638389579.6570065,1638389579672303557,2242
1638389579.7483597,1638389579763230153,985
1638389579.8600338,1638389579874201506,767
1638389579.9496684,1638389579965273619,780
1638389580.0877688,1638389580064057552,1066
1638389580.1506922,1638389580164448803,879
1638389580.248486,1638389580264198819,849
1638389580.3622496,1638389580376817922,958
1638389580.4572165,1638389580472115381,978
1638389580.5568037,1638389580572459393,882
1638389580.6457093,1638389580661149082,964
1638389580.754264,1638389580770066914,825
1638389580.845817,1638389580861042125,930
1638389580.9460573,1638389580960886878,1094
1638389581.0461707,1638389581061238352,984
1638389581.1465747,1638389581161264792,722
1638389581.2569687,1638389581270777325,407
1638389581.355502,1638389581370856837,451
1638389581.482896,1638389581498196060,1653
1638389581.5828214,1638389581597988911,1623
1638389581.6826732,1638389581697814574,1623
1638389581.782875,1638389581797768151,1537
1638389581.9020169,1638389581916775891,1336
1638389581.9434202,1638389581958527367,1559
1638389582.0430725,1638389582058583924,1446
1638389582.183218,1638389582198478112,1194
1638389582.2448313,1638389582260051561,1082
1638389582.344185,1638389582357903073,1023
1638389582.4825003,1638389582497900280,929
1638389582.5436974,1638389582558053343,1026
1638389582.6429694,1638389582658214544,989
1638389582.7565434,1638389582771344524,1042
1638389582.8436248,1638389582859087975,983
1638389582.9801273,1638389582995703954,995
1638389583.056352,1638389583070938892,1044
1638389583.1561291,1638389583171031629,1029
1638389583.255877,1638389583271132439,980
1638389583.37979,1638389583395262262,962
1638389583.4549727,1638389583470454807,998
1638389583.541819,1638389583557207259,1028
1638389583.6789434,1638389583694253418,943
1638389583.7422957,1638389583757258517,1035
1638389583.8424375,1638389583857013918,1046
1638389583.9576113,1638389583972621008,1038
1638389584.0695496,1638389584069610442,977
1638389584.14129,1638389584156409112,1130
1638389584.2415242,1638389584256377918,1273
1638389584.3412547,1638389584356479272,1018
1638389584.4542937,1638389584458048356,45
1638389584.5560231,1638389584570505697,796
1638389584.642012,1638389584657378011,1507
1638389584.7582314,1638389584773617928,4290
1638389584.8423483,1638389584857293904,1661
